Actual Value,Predicted Value
sadness,sadness
fear,fear
joy,joy
shame,sadness
fear,disgust
guilt,fear
anger,disgust
fear,fear
anger,disgust
sadness,sadness
shame,disgust
fear,fear
fear,guilt
anger,guilt
joy,joy
shame,shame
guilt,disgust
joy,joy
guilt,joy
joy,shame
joy,joy
anger,guilt
guilt,anger
sadness,sadness
disgust,disgust
guilt,shame
fear,fear
anger,anger
guilt,guilt
guilt,guilt
disgust,disgust
disgust,disgust
joy,shame
guilt,guilt
disgust,disgust
shame,guilt
sadness,sadness
shame,joy
fear,fear
joy,joy
shame,shame
joy,joy
joy,joy
anger,anger
fear,fear
guilt,anger
fear,fear
guilt,guilt
anger,anger
sadness,sadness
joy,joy
joy,sadness
disgust,joy
anger,anger
disgust,shame
sadness,sadness
joy,joy
anger,disgust
sadness,sadness
disgust,disgust
shame,guilt
disgust,anger
guilt,guilt
sadness,disgust
anger,shame
anger,fear
sadness,sadness
fear,fear
anger,anger
guilt,shame
fear,fear
joy,guilt
sadness,sadness
fear,fear
shame,shame
guilt,guilt
disgust,joy
joy,fear
sadness,sadness
shame,anger
anger,shame
shame,guilt
fear,fear
shame,guilt
shame,shame
shame,shame
disgust,anger
disgust,disgust
disgust,disgust
sadness,sadness
guilt,disgust
anger,anger
joy,joy
guilt,guilt
fear,fear
guilt,disgust
fear,fear
joy,joy
anger,disgust
joy,joy
anger,joy
anger,joy
shame,shame
joy,joy
fear,fear
shame,joy
joy,sadness
sadness,sadness
disgust,joy
fear,sadness
guilt,anger
shame,anger
joy,joy
disgust,disgust
disgust,anger
sadness,sadness
fear,guilt
shame,shame
fear,fear
shame,shame
disgust,disgust
guilt,anger
fear,fear
sadness,shame
joy,joy
anger,anger
joy,joy
sadness,sadness
anger,fear
shame,guilt
disgust,disgust
shame,joy
fear,fear
guilt,guilt
guilt,guilt
disgust,disgust
fear,fear
guilt,anger
shame,disgust
anger,joy
guilt,guilt
fear,fear
disgust,disgust
joy,joy
fear,disgust
shame,shame
sadness,sadness
guilt,guilt
anger,guilt
sadness,sadness
guilt,sadness
joy,disgust
joy,guilt
guilt,guilt
disgust,disgust
fear,fear
anger,anger
anger,shame
disgust,disgust
anger,disgust
guilt,disgust
anger,disgust
joy,joy
anger,anger
sadness,sadness
joy,sadness
shame,guilt
sadness,sadness
joy,sadness
guilt,shame
sadness,sadness
shame,shame
sadness,fear
sadness,sadness
sadness,disgust
sadness,joy
fear,fear
joy,joy
joy,sadness
guilt,anger
sadness,sadness
joy,disgust
anger,anger
anger,anger
anger,disgust
joy,joy
guilt,guilt
anger,anger
joy,shame
joy,joy
joy,disgust
fear,joy
sadness,sadness
guilt,guilt
fear,fear
shame,guilt
shame,shame
anger,shame
shame,shame
fear,fear
shame,shame
shame,shame
shame,fear
