Actual Value,Predicted Value
sadness,sadness
fear,fear
joy,joy
shame,sadness
fear,fear
guilt,fear
anger,disgust
fear,fear
anger,disgust
sadness,sadness
shame,disgust
fear,fear
fear,sadness
anger,guilt
joy,joy
shame,shame
guilt,disgust
joy,joy
guilt,joy
joy,guilt
joy,sadness
anger,anger
guilt,anger
sadness,sadness
disgust,disgust
guilt,shame
fear,guilt
anger,anger
guilt,guilt
guilt,guilt
disgust,disgust
disgust,anger
joy,sadness
guilt,shame
disgust,disgust
shame,disgust
sadness,sadness
shame,shame
fear,fear
joy,sadness
shame,guilt
joy,joy
joy,joy
anger,anger
fear,sadness
guilt,anger
fear,fear
guilt,guilt
anger,guilt
sadness,sadness
joy,joy
joy,sadness
disgust,fear
anger,anger
disgust,shame
sadness,sadness
joy,joy
anger,anger
sadness,sadness
disgust,disgust
shame,guilt
disgust,disgust
guilt,guilt
sadness,sadness
anger,shame
anger,fear
sadness,sadness
fear,fear
anger,anger
guilt,shame
fear,fear
joy,guilt
sadness,sadness
fear,fear
shame,shame
guilt,guilt
disgust,guilt
joy,guilt
sadness,sadness
shame,anger
anger,shame
shame,guilt
fear,fear
shame,guilt
shame,shame
shame,sadness
disgust,anger
disgust,disgust
disgust,disgust
sadness,sadness
guilt,shame
anger,anger
joy,joy
guilt,sadness
fear,fear
guilt,anger
fear,sadness
joy,joy
anger,disgust
joy,joy
anger,joy
anger,joy
shame,shame
joy,joy
fear,fear
shame,joy
joy,sadness
sadness,sadness
disgust,joy
fear,sadness
guilt,guilt
shame,anger
joy,joy
disgust,disgust
disgust,anger
sadness,sadness
fear,guilt
shame,shame
fear,fear
shame,shame
disgust,guilt
guilt,guilt
fear,fear
sadness,shame
joy,joy
anger,anger
joy,joy
sadness,sadness
anger,guilt
shame,sadness
disgust,disgust
shame,joy
fear,anger
guilt,guilt
guilt,guilt
disgust,disgust
fear,fear
guilt,sadness
shame,anger
anger,anger
guilt,sadness
fear,fear
disgust,disgust
joy,sadness
fear,disgust
shame,shame
sadness,sadness
guilt,guilt
anger,shame
sadness,sadness
guilt,shame
joy,sadness
joy,guilt
guilt,guilt
disgust,disgust
fear,fear
anger,anger
anger,sadness
disgust,shame
anger,anger
guilt,disgust
anger,disgust
joy,joy
anger,anger
sadness,sadness
joy,sadness
shame,guilt
sadness,sadness
joy,sadness
guilt,guilt
sadness,sadness
shame,shame
sadness,sadness
sadness,sadness
sadness,sadness
sadness,joy
fear,fear
joy,joy
joy,sadness
guilt,guilt
sadness,sadness
joy,disgust
anger,anger
anger,anger
anger,anger
joy,joy
guilt,guilt
anger,anger
joy,joy
joy,sadness
joy,joy
fear,sadness
sadness,sadness
guilt,guilt
fear,fear
shame,guilt
shame,guilt
anger,shame
shame,shame
fear,fear
shame,shame
