Model,Accuracy,Recall,Precision,F1 Score
LSTM + Word2Vec,0.806,0.806,0.8141,0.8066
LSTM + Glove,0.8791,0.8791,0.8801,0.8792
LSTM + FastText,0.7729,0.7729,0.774,0.7725
BiLSTM + Word2Vec,0.7515,0.7515,0.7801,0.7511
BiLSTM + Glove,0.8538,0.8538,0.8579,0.8545
BiLSTM + FastText,0.6384,0.6384,0.6987,0.6474
GRU + Word2Vec,0.8665,0.8665,0.8714,0.8671
GRU + Glove,0.8879,0.8879,0.8918,0.8885
GRU + FastText,0.8635,0.8635,0.8717,0.8641
BiGRU + Word2Vec,0.8587,0.8587,0.8709,0.8599
BiGRU + Glove,0.8577,0.8577,0.8609,0.858
BiGRU + FastText,0.8558,0.8558,0.8592,0.8564
