Actual Value,Predicted Value
sadness,sadness
fear,fear
joy,joy
shame,shame
fear,fear
guilt,fear
anger,disgust
fear,fear
anger,disgust
sadness,sadness
shame,disgust
fear,fear
fear,guilt
anger,guilt
joy,joy
shame,shame
guilt,disgust
joy,joy
guilt,disgust
joy,guilt
joy,fear
anger,guilt
guilt,anger
sadness,sadness
disgust,disgust
guilt,shame
fear,fear
anger,anger
guilt,sadness
guilt,guilt
disgust,disgust
disgust,anger
joy,shame
guilt,guilt
disgust,disgust
shame,guilt
sadness,sadness
shame,shame
fear,fear
joy,joy
shame,shame
joy,joy
joy,joy
anger,anger
fear,guilt
guilt,anger
fear,fear
guilt,guilt
anger,anger
sadness,sadness
joy,joy
joy,sadness
disgust,fear
anger,anger
disgust,shame
sadness,sadness
joy,joy
anger,anger
sadness,sadness
disgust,anger
shame,guilt
disgust,anger
guilt,guilt
sadness,shame
anger,anger
anger,fear
sadness,sadness
fear,fear
anger,anger
guilt,guilt
fear,fear
joy,guilt
sadness,sadness
fear,fear
shame,shame
guilt,guilt
disgust,shame
joy,fear
sadness,guilt
shame,anger
anger,shame
shame,shame
fear,fear
shame,guilt
shame,shame
shame,shame
disgust,anger
disgust,disgust
disgust,disgust
sadness,sadness
guilt,guilt
anger,anger
joy,joy
guilt,guilt
fear,fear
guilt,anger
fear,fear
joy,joy
anger,disgust
joy,joy
anger,joy
anger,fear
shame,shame
joy,joy
fear,fear
shame,joy
joy,joy
sadness,sadness
disgust,joy
fear,sadness
guilt,anger
shame,anger
joy,joy
disgust,disgust
disgust,anger
sadness,anger
fear,fear
shame,shame
fear,fear
shame,shame
disgust,disgust
guilt,anger
fear,fear
sadness,shame
joy,joy
anger,anger
joy,joy
sadness,guilt
anger,fear
shame,guilt
disgust,disgust
shame,joy
fear,fear
guilt,guilt
guilt,guilt
disgust,disgust
fear,fear
guilt,anger
shame,shame
anger,guilt
guilt,guilt
fear,fear
disgust,disgust
joy,joy
fear,shame
shame,shame
sadness,sadness
guilt,guilt
anger,guilt
sadness,sadness
guilt,sadness
joy,sadness
joy,guilt
guilt,guilt
disgust,disgust
fear,fear
anger,anger
anger,shame
disgust,shame
anger,anger
guilt,shame
anger,disgust
joy,joy
anger,anger
sadness,sadness
joy,shame
shame,guilt
sadness,sadness
joy,sadness
guilt,shame
sadness,sadness
shame,shame
sadness,fear
sadness,sadness
sadness,sadness
sadness,joy
fear,fear
joy,joy
joy,fear
guilt,guilt
sadness,sadness
joy,joy
anger,anger
anger,anger
anger,anger
joy,disgust
guilt,guilt
anger,anger
joy,shame
joy,joy
joy,joy
fear,joy
sadness,sadness
guilt,guilt
fear,fear
shame,guilt
shame,guilt
anger,shame
shame,shame
fear,fear
shame,shame
shame,shame
shame,fear
anger,anger
anger,anger
