Actual Value,Predicted Value
sadness,sadness
fear,fear
joy,joy
shame,disgust
fear,disgust
guilt,fear
anger,disgust
fear,fear
anger,disgust
sadness,sadness
shame,disgust
fear,fear
fear,guilt
anger,guilt
joy,joy
shame,shame
guilt,disgust
joy,joy
guilt,joy
joy,fear
joy,fear
anger,guilt
guilt,anger
sadness,sadness
disgust,disgust
guilt,shame
fear,fear
anger,anger
guilt,guilt
guilt,guilt
disgust,disgust
disgust,anger
joy,shame
guilt,guilt
disgust,disgust
shame,guilt
sadness,sadness
shame,shame
fear,fear
joy,joy
shame,guilt
joy,joy
joy,joy
anger,anger
fear,fear
guilt,anger
fear,fear
guilt,guilt
anger,guilt
sadness,sadness
joy,joy
joy,sadness
disgust,fear
anger,anger
disgust,shame
sadness,sadness
joy,joy
anger,anger
sadness,sadness
disgust,disgust
shame,guilt
disgust,anger
guilt,guilt
sadness,anger
anger,anger
anger,fear
sadness,sadness
fear,fear
anger,anger
guilt,guilt
fear,fear
joy,guilt
sadness,sadness
fear,fear
shame,shame
guilt,guilt
disgust,shame
joy,fear
sadness,sadness
shame,anger
anger,shame
shame,guilt
fear,fear
shame,fear
shame,shame
shame,shame
disgust,anger
disgust,disgust
disgust,disgust
sadness,sadness
guilt,guilt
anger,anger
joy,joy
guilt,sadness
fear,fear
guilt,guilt
fear,fear
joy,joy
anger,anger
joy,joy
anger,joy
anger,fear
shame,shame
joy,joy
fear,fear
shame,joy
joy,joy
sadness,sadness
disgust,joy
fear,sadness
guilt,anger
shame,anger
joy,joy
disgust,fear
disgust,anger
sadness,sadness
fear,guilt
shame,anger
fear,fear
shame,shame
disgust,disgust
guilt,anger
fear,fear
sadness,shame
joy,joy
anger,anger
joy,joy
sadness,sadness
anger,fear
shame,guilt
disgust,disgust
shame,joy
fear,fear
guilt,guilt
guilt,guilt
disgust,disgust
fear,fear
guilt,anger
shame,anger
anger,anger
guilt,guilt
fear,fear
disgust,disgust
joy,joy
fear,shame
shame,sadness
sadness,joy
guilt,guilt
anger,guilt
sadness,sadness
guilt,shame
joy,anger
joy,guilt
guilt,guilt
disgust,disgust
fear,fear
anger,anger
anger,shame
disgust,fear
anger,anger
guilt,disgust
anger,disgust
joy,joy
anger,anger
sadness,sadness
joy,joy
shame,shame
sadness,sadness
joy,joy
guilt,shame
sadness,sadness
shame,shame
sadness,fear
sadness,sadness
sadness,anger
sadness,joy
fear,fear
joy,joy
joy,sadness
guilt,anger
sadness,disgust
joy,disgust
anger,anger
anger,anger
anger,anger
joy,disgust
guilt,guilt
anger,guilt
joy,disgust
joy,joy
joy,joy
fear,joy
sadness,sadness
guilt,guilt
fear,fear
shame,guilt
shame,guilt
anger,shame
shame,shame
fear,fear
shame,shame
shame,disgust
shame,fear
anger,anger
anger,anger
